date,SVI,isPartial,Issuer
2019-07-21,0,False,Apex Technology Acquisition
2019-07-28,22,False,Apex Technology Acquisition
2019-08-04,0,False,Apex Technology Acquisition
2019-08-11,22,False,Apex Technology Acquisition
2019-08-18,0,False,Apex Technology Acquisition
2019-08-25,0,False,Apex Technology Acquisition
2019-09-01,0,False,Apex Technology Acquisition
2019-09-08,41,False,Apex Technology Acquisition
2019-09-15,61,False,Apex Technology Acquisition
2019-09-22,100,False,Apex Technology Acquisition
2019-09-29,0,False,Apex Technology Acquisition
2019-10-06,0,False,Apex Technology Acquisition
2019-10-13,0,False,Apex Technology Acquisition
2019-10-20,0,False,Apex Technology Acquisition
2019-10-27,20,False,Apex Technology Acquisition
2019-11-03,20,False,Apex Technology Acquisition
2019-11-10,0,False,Apex Technology Acquisition
2019-11-17,0,False,Apex Technology Acquisition
2019-11-24,0,False,Apex Technology Acquisition
2019-12-01,20,False,Apex Technology Acquisition
2019-12-08,0,False,Apex Technology Acquisition
2019-12-15,0,False,Apex Technology Acquisition
2019-12-22,0,False,Apex Technology Acquisition
2019-12-29,0,False,Apex Technology Acquisition
2020-01-05,0,False,Apex Technology Acquisition
2020-01-12,0,False,Apex Technology Acquisition
2020-01-19,19,False,Apex Technology Acquisition
2020-01-26,0,False,Apex Technology Acquisition
2020-02-02,0,False,Apex Technology Acquisition
2020-02-09,0,False,Apex Technology Acquisition
2020-02-16,0,False,Apex Technology Acquisition
2020-02-23,18,False,Apex Technology Acquisition
2020-03-01,0,False,Apex Technology Acquisition
2020-03-08,0,False,Apex Technology Acquisition
2020-03-15,0,False,Apex Technology Acquisition
2020-03-22,0,False,Apex Technology Acquisition
2020-03-29,0,False,Apex Technology Acquisition
2020-04-05,0,False,Apex Technology Acquisition
2020-04-12,0,False,Apex Technology Acquisition
2020-04-19,17,False,Apex Technology Acquisition
2020-04-26,0,False,Apex Technology Acquisition
2020-05-03,17,False,Apex Technology Acquisition
2020-05-10,17,False,Apex Technology Acquisition
2020-05-17,17,False,Apex Technology Acquisition
2020-05-24,0,False,Apex Technology Acquisition
2020-05-31,17,False,Apex Technology Acquisition
2020-06-07,0,False,Apex Technology Acquisition
2020-06-14,18,False,Apex Technology Acquisition
