date,SVI,isPartial,Issuer
2019-11-10,0,False,Proficient Alpha Acquisition
2019-11-17,0,False,Proficient Alpha Acquisition
2019-11-24,0,False,Proficient Alpha Acquisition
2019-12-01,0,False,Proficient Alpha Acquisition
2019-12-08,0,False,Proficient Alpha Acquisition
2019-12-15,0,False,Proficient Alpha Acquisition
2019-12-22,0,False,Proficient Alpha Acquisition
2019-12-29,0,False,Proficient Alpha Acquisition
2020-01-05,0,False,Proficient Alpha Acquisition
2020-01-12,0,False,Proficient Alpha Acquisition
2020-01-19,0,False,Proficient Alpha Acquisition
2020-01-26,0,False,Proficient Alpha Acquisition
2020-02-02,0,False,Proficient Alpha Acquisition
2020-02-09,0,False,Proficient Alpha Acquisition
2020-02-16,0,False,Proficient Alpha Acquisition
2020-02-23,0,False,Proficient Alpha Acquisition
2019-03-10,0,False,GigCapital2
2019-03-17,0,False,GigCapital2
2019-03-24,0,False,GigCapital2
2019-03-31,0,False,GigCapital2
2019-04-07,0,False,GigCapital2
2019-04-14,0,False,GigCapital2
2019-04-21,0,False,GigCapital2
2019-04-28,0,False,GigCapital2
2019-05-05,0,False,GigCapital2
2019-05-12,0,False,GigCapital2
2019-05-19,0,False,GigCapital2
2019-05-26,0,False,GigCapital2
2019-06-02,98,False,GigCapital2
2019-06-09,0,False,GigCapital2
2019-06-16,0,False,GigCapital2
2019-06-23,100,False,GigCapital2
2019-06-30,0,False,GigCapital2
2019-07-07,0,False,GigCapital2
2019-07-14,0,False,GigCapital2
2019-07-21,0,False,GigCapital2
2019-07-28,0,False,GigCapital2
2019-08-04,0,False,GigCapital2
2019-08-11,0,False,GigCapital2
2019-08-18,0,False,GigCapital2
2019-08-25,0,False,GigCapital2
2019-09-01,0,False,GigCapital2
2019-09-08,0,False,GigCapital2
2019-09-15,0,False,GigCapital2
2019-09-22,47,False,GigCapital2
2019-09-29,47,False,GigCapital2
2019-10-06,0,False,GigCapital2
2019-10-13,0,False,GigCapital2
2019-10-20,0,False,GigCapital2
2019-10-27,0,False,GigCapital2
2019-11-03,0,False,GigCapital2
2019-11-10,0,False,GigCapital2
2019-11-17,0,False,GigCapital2
2019-11-24,0,False,GigCapital2
2019-12-01,0,False,GigCapital2
2019-12-08,0,False,GigCapital2
2019-12-15,0,False,GigCapital2
2019-12-22,0,False,GigCapital2
2019-12-29,0,False,GigCapital2
2020-01-05,0,False,GigCapital2
2020-01-12,0,False,GigCapital2
2020-01-19,0,False,GigCapital2
2020-01-26,0,False,GigCapital2
2020-02-02,0,False,GigCapital2
2020-02-09,0,False,GigCapital2
2020-02-16,0,False,GigCapital2
2020-02-23,0,False,GigCapital2
2020-03-01,0,False,GigCapital2
